Name,Final,Started,County,AcresBurned,PercentContained,Longitude,Latitude,Type,IsActive,CalFireIncident,Location
San Antonio Fire ,True,2020-09-16T16:00:33Z,Santa Barbara,111,100,-120.491594,34.773809,Wildfire,False,False,"Vandenberg Road and San Antonio Road, Vandenberg Air Force Base in Santa Barbara County. "
Zogg Fire,True,2020-09-27T16:03:27Z,"Shasta, Tehama",56338,100,-122.56656,40.53927,Wildfire,False,True,"Zogg Mine Road and Jenny Bird Lane, North of Igo"
Martindale Fire ,True,2020-09-28T17:08:09Z,Los Angeles,230,100,-118.4,34.563,Wildfire,False,False,"Bouquet Canyon Road, East of Hawthorne"
Candy Fire,True,2020-09-29T13:32:00Z,Riverside,227,100,-117.374419,33.764357,Wildfire,False,True,"Gavilan Road and Lake Mathews Dr, Perris in Riverside County."
Copper Fire ,True,2020-09-30T13:09:00Z,Amador,48,100,-121.003602,38.49375,Wildfire,False,True,"Copper Hill Rd. off Hwy 16, east of Rancho Murieta"
Pony Fire,True,2020-10-03T15:38:00Z,Sacramento,20,100,-121.039236,38.464074,Wildfire,False,True,"Pony Brown Rd and Ione Rd, Sloughhouse"
Lambert Fire,True,2020-10-04T12:46:20Z,Amador,21,100,-121.006635,38.424016,Wildfire,False,True,"Lambert Road and Carbondale Road, North of Carbondale"
Fields Fire ,True,2020-10-07T06:06:33Z,Yuba,56,100,-121.450982,39.181047,Wildfire,False,True,"Gold Field Road and Hammonton Road, Northeast of Marigold "
Irvine Fire,True,2020-10-11T18:04:00Z,Contra Costa,30,100,-122.104314,37.821737,Wildfire,False,True,Irvine Drive in Moraga 
Diamond Fire,True,2020-10-13T14:31:29Z,Calaveras,21,100,-120.64541,37.98337,Wildfire,False,True,"Highway 4 and Main Street, North of Copperopolis"
