,fips,county,province_state,covid_last_update,county_latitude,county_longitudue,covid_confirmed,covid_death,covid_recovered,covid_active,covid_indidence_rate,covid_case_fatality_ratio,county_population,covid_death_per_10000,covid_confirmed_per_10000,covid_active_cases_per_capita,fires_per_county_in_2020,active_fires_per_county,fire_score,earthquakes_per_county_in_2020,earthquakes_score,fatality_rate_per_10000,combined_risk,combined_risk_2
21,6043.0,Mariposa,California,2020-10-17 04:24:12,37.57978556,-119.9073334,78,2,0,76.0,453.4092890774865,2.5641025641025643,17203,1.162587920711504,45.34092890774865,44.178340987037146,5,2,7,0,0,1.490497334245518,-1.0,2.0
22,6045.0,Mendocino,California,2020-10-17 04:24:12,39.4381191,-123.39113130000001,1077,21,0,1056.0,1241.5128704653655,1.949860724233984,86749,2.4207771847514086,124.15128704653655,121.73050986178515,8,1,14,9,9,0.22477039784135658,2.0,3.0
23,6047.0,Merced,California,2020-10-17 04:24:12,37.18922369,-120.72090349999999,9302,152,0,9150.0,3349.899164505906,1.6340571920017202,277680,5.473926822241429,334.9899164505906,329.5159896283492,1,0,1,0,0,0.058846772976149535,-0.0,-2.0
24,6049.0,Modoc,California,2020-10-17 04:24:12,41.58965602,-120.7244817,27,0,0,27.0,305.3953172718018,0.0,8841,0.0,30.539531727180183,30.539531727180183,0,0,0,0,0,0.0,-3.0,-2.0
25,6051.0,Mono,California,2020-10-17 04:24:12,37.93899289,-118.8872409,174,2,0,172.0,1204.6524508446416,1.1494252873563218,14444,1.3846579894765993,120.46524508446413,119.08058709498754,4,1,5,23,24,0.7957804537221834,2.0,3.0
26,6053.0,Monterey,California,2020-10-17 04:24:12,36.21862405,-121.24133970000001,10887,82,0,10805.0,2508.172814420093,0.7531918802241205,434061,1.889135398020094,250.8172814420093,248.9281460439892,6,1,7,6,6,0.017352212712593865,1.0,0.0
27,6055.0,Napa,California,2020-10-17 04:24:12,38.50735751,-122.33283899999999,1842,14,0,1828.0,1337.2633290742247,0.760043431053203,137744,1.0163782088512021,133.72633290742246,132.70995469857127,3,1,5,0,0,0.05517797007878405,-1.0,-1.0
28,6057.0,Nevada,California,2020-10-17 04:24:12,39.30394768,-120.76272809999999,579,8,0,571.0,580.422033983259,1.381692573402418,99755,0.8019648137937948,58.042203398325896,57.2402385845321,1,0,1,0,0,0.1385086034186174,-2.0,-2.0
29,6059.0,Orange,California,2020-10-17 04:24:12,33.70147516,-117.76459979999998,56587,1401,0,55186.0,1781.8793510201874,2.475833672044816,3175692,4.411636896777144,178.18793510201868,173.7762982052416,0,0,0,3,3,0.007796202125536154,-1.0,-2.0
30,6061.0,Placer,California,2020-10-17 04:24:12,39.06167234,-120.72405690000001,3880,52,0,3828.0,974.0691739742776,1.3402061855670102,398329,1.3054535321304752,97.40691739742776,96.10146386529728,4,0,4,0,0,0.03364570959099162,-1.0,-1.0
31,6063.0,Plumas,California,2020-10-17 04:24:12,40.00355989,-120.8395236,53,0,0,53.0,281.80996437496674,0.0,18807,0.0,28.180996437496677,28.180996437496677,2,1,3,0,0,0.0,-2.0,-1.0
32,6065.0,Riverside,California,2020-10-17 04:24:12,33.74314981,-115.9933578,63284,1269,0,62015.0,2561.5390282148155,2.005246191770432,2470546,5.13651638139909,256.1539028214816,251.01738644008248,18,2,20,14,14,0.00811661143638059,5.0,4.0
33,6067.0,Sacramento,California,2020-10-17 04:24:12,38.45106826,-121.34253740000001,24102,464,0,23638.0,1552.9058836718732,1.9251514397145464,1552058,2.9895789976920963,155.2905883671873,152.3010093694952,5,0,5,0,0,0.012403862740403684,-1.0,-1.0
34,6069.0,San Benito,California,2020-10-17 04:24:12,36.60308176,-121.069975,1396,14,0,1382.0,2222.646796586422,1.002865329512894,62808,2.2290154120494203,222.2646796586422,220.03566424659283,2,0,2,0,0,0.15967159112101867,-1.0,-1.0
35,6071.0,San Bernardino,California,2020-10-17 04:24:12,34.84060306,-116.1774685,59463,989,0,58474.0,2727.5542008683146,1.6632191446782032,2180085,4.53652036503164,272.75542008683146,268.21889972179986,6,2,8,12,12,0.007629148151004219,2.0,1.0
36,6073.0,San Diego,California,2020-10-17 04:24:12,33.03484597,-116.73653259999999,51781,865,0,50916.0,1551.1048937642474,1.6704969004074854,3338330,2.5911159172400566,155.11048937642477,152.5193734591847,5,0,5,5,5,0.00500398972063123,-0.0,-0.0
37,6075.0,San Francisco,California,2020-10-17 04:24:12,37.75215114,-122.43856720000001,11808,131,0,11677.0,1339.4604270437605,1.1094173441734418,881549,1.4860206295963128,133.94604270437605,132.46002207477974,0,0,0,0,0,0.01258486305552433,-2.0,-2.0
38,6077.0,San Joaquin,California,2020-10-17 04:24:12,37.93433732,-121.2730061,21138,483,0,20655.0,2773.4770674462184,2.2849843883054217,762148,6.33735180043771,277.3477067446218,271.0103549441841,3,0,4,0,0,0.029980848710557815,0.0,-1.0
39,6079.0,San Luis Obispo,California,2020-10-17 04:24:12,35.38822029,-120.4039028,3969,32,0,3937.0,1401.9236271285818,0.8062484252960443,283111,1.1302987167577383,140.1923627128582,139.06206399610048,14,0,14,0,0,0.028478173765627064,1.0,1.0
40,6081.0,San Mateo,California,2020-10-17 04:24:12,37.422880799999994,-122.32755459999998,10687,157,0,10530.0,1394.1268476713894,1.4690745765883784,766573,2.048076308453337,139.41268476713893,137.3646084586856,1,0,1,0,0,0.019164183666635512,-2.0,-2.0
41,6083.0,Santa Barbara,California,2020-10-17 04:24:12,34.65329488,-120.0188492,9540,118,0,9422.0,2136.6229263671357,1.2368972746331235,446499,2.64278307454216,213.66229263671363,211.0195095621715,2,0,2,2,2,0.027702128663963942,-1.0,-1.0
42,6085.0,Santa Clara,California,2020-10-17 04:24:12,37.23104908,-121.6970462,22974,373,0,22492.0,1185.7238003747175,1.6235744754940369,1927852,1.934795824575745,119.16889885738117,116.66870693393477,6,0,7,4,4,0.008421675914406485,0.0,0.0
43,6087.0,Santa Cruz,California,2020-10-17 04:24:12,37.05580291,-122.0066524,2670,23,0,2647.0,977.2595008290236,0.8614232209737828,273213,0.8418340269313687,97.72595008290237,96.88411605597098,1,0,1,0,0,0.031529364304545636,-2.0,-2.0
44,6089.0,Shasta,California,2020-10-17 04:24:12,40.76391419,-122.0396884,1666,29,0,1637.0,925.1443802754332,1.7406962785114046,180080,1.610395379831186,92.51443802754332,90.90404264771212,3,0,3,0,0,0.09666238774496916,-2.0,-1.0
